night;group_night;IdLabel;IdRFID;weight;sex;group;discard;cond
1;0;Ind1;041769306F;9.99;m;mixed1;0;train
1;0;Ind2;0417691E63;9.28;m;mixed1;0;train
1;0;Ind3;041769264B;9.36;f;mixed1;0;train
1;0;Ind4;041768F274;10.17;m;mixed1;0;train
1;0;Ind5;041768FE8A;9.78;f;mixed1;0;train
1;0;Ind6;041768F43E;9.47;f;mixed1;0;train
2;1;Ind1;041769306F;9.99;m;mixed1;0;test
2;1;Ind2;0417691E63;9.28;m;mixed1;0;test
2;1;Ind3;041769264B;9.36;f;mixed1;0;test
2;1;Ind4;041768F274;10.17;m;mixed1;0;test
2;1;Ind5;041768FE8A;9.78;f;mixed1;0;test
2;1;Ind6;041768F43E;9.47;f;mixed1;0;test
3;2;Ind1;041769306F;9.99;m;mixed1;0;test
3;2;Ind2;0417691E63;9.28;m;mixed1;0;test
3;2;Ind3;041769264B;9.36;f;mixed1;0;test
3;2;Ind4;041768F274;10.17;m;mixed1;0;test
3;2;Ind5;041768FE8A;9.78;f;mixed1;0;test
3;2;Ind6;041768F43E;9.47;f;mixed1;0;test
4;3;Ind1;041769306F;9.99;m;mixed1;0;test
4;3;Ind2;0417691E63;9.28;m;mixed1;0;test
4;3;Ind3;041769264B;9.36;f;mixed1;0;test
4;3;Ind4;041768F274;10.17;m;mixed1;0;test
4;3;Ind5;041768FE8A;9.78;f;mixed1;0;test
4;3;Ind6;041768F43E;9.47;f;mixed1;0;test
5;4;Ind1;041769306F;9.99;m;mixed1;>22:04;test
5;4;Ind2;0417691E63;9.28;m;mixed1;>22:04;test
5;4;Ind3;041769264B;9.36;f;mixed1;>22:04;test
5;4;Ind4;041768F274;10.17;m;mixed1;>22:04;test
5;4;Ind5;041768FE8A;9.78;f;mixed1;>22:04;test
5;4;Ind6;041768F43E;9.47;f;mixed1;>22:04;test
6;5;Ind1;041769306F;9.99;m;mixed1;0;test
6;5;Ind2;0417691E63;9.28;m;mixed1;0;test
6;5;Ind3;041769264B;9.36;f;mixed1;0;test
6;5;Ind4;041768F274;10.17;m;mixed1;0;test
6;5;Ind5;041768FE8A;9.78;f;mixed1;0;test
6;5;Ind6;041768F43E;9.47;f;mixed1;0;test
7;6;Ind1;041769306F;9.99;m;mixed1;0;test
7;6;Ind2;0417691E63;9.28;m;mixed1;0;test
7;6;Ind3;041769264B;9.36;f;mixed1;0;test
7;6;Ind4;041768F274;10.17;m;mixed1;0;test
7;6;Ind5;041768FE8A;9.78;f;mixed1;0;test
7;6;Ind6;041768F43E;9.47;f;mixed1;0;test
8;7;Ind1;041769306F;9.99;m;mixed1;0;test
8;7;Ind2;0417691E63;9.28;m;mixed1;0;test
8;7;Ind3;041769264B;9.36;f;mixed1;0;test
8;7;Ind4;041768F274;10.17;m;mixed1;0;test
8;7;Ind5;041768FE8A;9.78;f;mixed1;0;test
8;7;Ind6;041768F43E;9.47;f;mixed1;0;test
9;-1;Ind31;0416ECE46E;10.09;f;6f;0;train
9;-1;Ind32;0417691E63;9.41;f;6f;0;train
9;-1;Ind33;041768F274;10.28;f;6f;0;train
9;-1;Ind34;0416ECCD85;10.72;f;6f;0;train
9;-1;Ind35;0416ECEEE3;10.02;f;6f;0;train
9;-1;Ind36;041768F43E;11.01;f;6f;0;train
10;0;Ind31;0416ECE46E;10.09;f;6f;0;train
10;0;Ind32;0417691E63;9.41;f;6f;0;train
10;0;Ind33;041768F274;10.28;f;6f;0;train
10;0;Ind34;0416ECCD85;10.72;f;6f;0;train
10;0;Ind35;0416ECEEE3;10.02;f;6f;0;train
10;0;Ind36;041768F43E;11.01;f;6f;0;train
11;1;Ind31;0416ECE46E;10.09;f;6f;0;test
11;1;Ind32;0417691E63;9.41;f;6f;0;test
11;1;Ind33;041768F274;10.28;f;6f;0;test
11;1;Ind34;0416ECCD85;10.72;f;6f;0;test
11;1;Ind35;0416ECEEE3;10.02;f;6f;0;test
11;1;Ind36;041768F43E;11.01;f;6f;0;test
12;2;Ind31;0416ECE46E;10.09;f;6f;0;test
12;2;Ind32;0417691E63;9.41;f;6f;0;test
12;2;Ind33;041768F274;10.28;f;6f;0;test
12;2;Ind34;0416ECCD85;10.72;f;6f;0;test
12;2;Ind35;0416ECEEE3;10.02;f;6f;0;test
12;2;Ind36;041768F43E;11.01;f;6f;0;test
13;3;Ind31;0416ECE46E;10.09;f;6f;0;test
13;3;Ind32;0417691E63;9.41;f;6f;0;test
13;3;Ind33;041768F274;10.28;f;6f;0;test
13;3;Ind34;0416ECCD85;10.72;f;6f;0;test
13;3;Ind35;0416ECEEE3;10.02;f;6f;0;test
13;3;Ind36;041768F43E;11.01;f;6f;0;test
14;4;Ind31;0416ECE46E;10.09;f;6f;0;test
14;4;Ind32;0417691E63;9.41;f;6f;0;test
14;4;Ind33;041768F274;10.28;f;6f;0;test
14;4;Ind34;0416ECCD85;10.72;f;6f;0;test
14;4;Ind35;0416ECEEE3;10.02;f;6f;0;test
14;4;Ind36;041768F43E;11.01;f;6f;0;test
15;5;Ind31;0416ECE46E;10.09;f;6f;0;test
15;5;Ind32;0417691E63;9.41;f;6f;0;test
15;5;Ind33;041768F274;10.28;f;6f;0;test
15;5;Ind34;0416ECCD85;10.72;f;6f;0;test
15;5;Ind35;0416ECEEE3;10.02;f;6f;0;test
15;5;Ind36;041768F43E;11.01;f;6f;0;test
16;6;Ind31;0416ECE46E;10.09;f;6f;0;test
16;6;Ind32;0417691E63;9.41;f;6f;0;test
16;6;Ind33;041768F274;10.28;f;6f;0;test
